business_name,category,address,website,email,phone,rating,review_count,description_raw,facebook,instagram,linkedin,youtube,twitter,gbp_url,city,state
Dallas Plumbing & Air Conditioning,Plumber,"11055 Plano Rd, Dallas, TX 75238, United States",dallasplumbing.com,Not Found,+1 469-489-1061,4.6,"1,211","11055 Plano Rd, Dallas, TX 75238, United States",https://www.facebook.com/dallasplumbingcompany/,Not Found,https://www.linkedin.com/company/dallas-plumbing-company/,Not Found,twitter.com,https://www.google.com/maps/place/Dallas+Plumbing+%26+Air+Conditioning/data=!4m7!3m6!1s0x864ea082068644ed:0x99b05dca1975510f!8m2!3d32.8992107!4d-96.7014079!16s%2Fg%2F1tmy5gdt!19sChIJ7USGBoKgToYRD1F1GcpdsJk?authuser=0&hl=en&rclk=1,Dallas,TX
BV Air Conditioning & Heating,HVAC contractor,"5101 Ranchero Ln, Dallas, TX 75236, United States",bvairco.com,bvairco@gmail.com,+1 682-333-6559,4.8,117,"5101 Ranchero Ln, Dallas, TX 75236, United States",https://www.facebook.com/bvairconditioning,https://www.instagram.com/bvairconditioning/,Not Found,Not Found,twitter.com,https://www.google.com/maps/place/BV+Air+Conditioning+%26+Heating/data=!4m7!3m6!1s0x864e862dd15f05b9:0x771d00f4da9be590!8m2!3d32.6807205!4d-96.9110249!16s%2Fg%2F11c5s_4ms4!19sChIJuQVf0S2GToYRkOWb2vQAHXc?authuser=0&hl=en&rclk=1,Dallas,TX
Tiger Air and Heating,Air conditioning repair service·,"17606 Preston Rd, Dallas, TX 75252, United States",tigerairtx.com,Not Found,+1 214-214-6922,5,481,"17606 Preston Rd, Dallas, TX 75252, United States",https://www.facebook.com/tigerairtx?mibextid=zbwkwl,https://www.instagram.com/tigerairtx/?igsh=mw10c3jhngq1azjtyq%3d%3d#,Not Found,youtube.com,x.com,https://www.google.com/maps/place/Tiger+Air+and+Heating/data=!4m7!3m6!1s0x864c231548bb8789:0x56d3f8ee61da5df5!8m2!3d32.9918926!4d-96.8003332!16s%2Fg%2F11fh7f6nb4!19sChIJiYe7SBUjTIYR9V3aYe7401Y?authuser=0&hl=en&rclk=1,Dallas,TX
Open To Public HVAC Parts,Air conditioning system supplier·,"10226 Plano Rd #104, Dallas, TX 75238, United States",otp-hvac.com,Not Found,+1 214-340-9421,4.9,526,"10226 Plano Rd #104, Dallas, TX 75238, United States",https://www.facebook.com/otphvac,http://instagram.com/open_to_public_hvac_parts,Not Found,youtube.com,twitter.com,https://www.google.com/maps/place/Open+To+Public+HVAC+Parts/data=!4m7!3m6!1s0x864ea08f60041565:0x156df66b532250ca!8m2!3d32.888381!4d-96.6998569!16s%2Fg%2F11b6rz555k!19sChIJZRUEYI-gToYRylAiU2v2bRU?authuser=0&hl=en&rclk=1,Dallas,TX
5 Star HVAC Contractors,Air conditioning contractor,"3906 Melcer Dr #302, Rowlett, TX 75088, United States",5starhvaccontractors.com,Not Found,+1 972-848-9414,4.9,"1,177","3906 Melcer Dr #302, Rowlett, TX 75088, United States",Not Found,Not Found,Not Found,Not Found,Not Found,https://www.google.com/maps/place/5+Star+HVAC+Contractors/data=!4m7!3m6!1s0x864c0275729eb969:0xacd573f7b056a6c0!8m2!3d32.9048124!4d-96.5652667!16s%2Fg%2F1tm12_k2!19sChIJabmecnUCTIYRwKZWsPdz1aw?authuser=0&hl=en&rclk=1,Dallas,TX
Happel Mechanical,Air conditioning contractor,"10205 Chesterton Dr, Dallas, TX 75238, United States",happelmechanical.com,happelmechanical@yahoo.com,+1 214-538-9225,4.9,175,"10205 Chesterton Dr, Dallas, TX 75238, United States",https://www.facebook.com/people/happel-mechanical/100057178371897/,Not Found,Not Found,Not Found,twitter.com,https://www.google.com/maps/place/Happel+Mechanical/data=!4m7!3m6!1s0x864ea0619b7aaaab:0xf0d98004ac504ec7!8m2!3d32.8815326!4d-96.7088747!16s%2Fg%2F11p0vxlpzp!19sChIJq6p6m2GgToYRx05QrASA2fA?authuser=0&hl=en&rclk=1,Dallas,TX
Koala Insulation of North Texas,Insulation contractor,"110 Rose Ln Ste 212, Frisco, TX 75036, United States",koalainsulation.com,Not Found,+1 469-638-9544,4.9,194,"110 Rose Ln Ste 212, Frisco, TX 75036, United States",Not Found,Not Found,Not Found,Not Found,Not Found,https://www.google.com/maps/place/Koala+Insulation+of+North+Texas/data=!4m7!3m6!1s0x864c3b4d184d1fdf:0x80f9906ac4d4a36a!8m2!3d33.151378!4d-96.915484!16s%2Fg%2F11pgczcsmh!19sChIJ3x9NGE07TIYRaqPUxGqQ-YA?authuser=0&hl=en&rclk=1,Dallas,TX
Berry Best Cooling & Heating,HVAC contractor,"3309 Elm St Suite 259, Dallas, TX 75226, United States",callberrybest.com,comfort@berrybestservices.com,+1 972-928-9482,5,109,"3309 Elm St Suite 259, Dallas, TX 75226, United States",https://www.facebook.com/profile.php?id=100090863241166,Not Found,Not Found,Not Found,Not Found,https://www.google.com/maps/place/Berry+Best+Cooling+%26+Heating/data=!4m7!3m6!1s0xa41fa2f839fb8c69:0x69a97b7f03aa06a7!8m2!3d32.7867085!4d-96.7779356!16s%2Fg%2F11srhj80tg!19sChIJaYz7OfiiH6QRpwaqA397qWk?authuser=0&hl=en&rclk=1,Dallas,TX
"Paschal Air, Plumbing & Electric",HVAC contractor,"12054 Forestgate Dr, Dallas, TX 75243, United States",gopaschal.com,info@gopaschal.com,+1 214-765-4817,4.6,419,"12054 Forestgate Dr, Dallas, TX 75243, United States",https://www.facebook.com/paschalairplumbingelectric/,https://www.instagram.com/paschal_air_plumbing_electric/,https://www.linkedin.com/company/paschalairplumbingelectric/,youtube.com,x.com,"https://www.google.com/maps/place/Paschal+Air,+Plumbing+%26+Electric/data=!4m7!3m6!1s0x864ea6989267554f:0xf65a4c4f0aac6f7d!8m2!3d32.9109321!4d-96.7036713!16s%2Fg%2F1tmk8xmm!19sChIJT1VnkpimToYRfW-sCk9MWvY?authuser=0&hl=en&rclk=1",Dallas,TX
billyGO Air Conditioning & Plumbing - Dallas,Plumber,"17430 Campbell Rd Ste 207, Dallas, TX 75252, United States",billygo.com,support@billygo.com,+1 214-267-9944,4.7,"1,375",billyGO Air Conditioning & Plumbing - Dallas,https://www.facebook.com/billygoairconditioningandplumbing,https://www.instagram.com/billygo.hvac.plumbing,https://www.linkedin.com/company/28123692,youtube.com,twitter.com,https://www.google.com/maps/place/billyGO+Air+Conditioning+%26+Plumbing+-+Dallas/data=!4m7!3m6!1s0x864c27e2d684b025:0x34fa5b3031536ba7!8m2!3d32.9906471!4d-96.8067158!16s%2Fg%2F11b808sxdl!19sChIJJbCE1uInTIYRp2tTMTBb-jQ?authuser=0&hl=en&rclk=1,Dallas,TX
